Cohort,SHORTLIST? (yes/no),Applicant ID,How do you identify?,What pronouns should we use?,Do you identify as any of the following? Please check all that apply.,How did you hear about Bridge?,Have you applied to any Bridge cohorts before?,Current employment status,Will you be looking for a new job in June 2019 (when you graduate from Bridge)?,Have you attended any web development focused bootcamps?,Submitted At,Token
cohort-7,yes,390dd962-f43c-46d4-b21f-a0e83ab91b51,Woman,She/her,Person of colour,Friend or family member,I have not applied to a Bridge cohort before,In school full time,Yes,I have not attended a bootcamp,2/18/2019 16:56:32,62e960304570974403b9fbe2747f03bc
cohort-7,no,821f8d33-63d0-4358-9647-bcd997e2baae,Woman,She/her,Person of colour,LinkedIn,I have not applied to a Bridge cohort before,Unemployed and looking for a job,Yes,I have not attended a bootcamp,2/18/2019 16:27:33,0f1bbfce564321118cd6b7945285b8be
cohort-7,no,9ee33db9-2379-4845-9bf5-823658c220ee,Woman,She/her,Person of colour,Friend or family member,I have not applied to a Bridge cohort before,Employed full time,Yes,I have not attended a bootcamp,2/18/2019 17:58:15,4c5e64d7d71d2a4dd2732b18f937ed19
cohort-7,no,4c06b615-77ef-45bb-a0d1-0d96559a3bbf,Woman,She/her,"LGBTQIA+, Prefer not to disclose, Person of colour",Twitter,Rangle Cohort 6 (January 2019 - March 2019),Unemployed and looking for a job,Yes,I have not attended a bootcamp,2/18/2019 19:03:23,a056ce739221789fb0a3a2bb0c7b2b70
cohort-7,yes,20f975c6-a034-4e22-b5ea-e38a73dc3afa,Woman,She/her,,Friend or family member,Rangle Cohort 6 (January 2019 - March 2019),Employed full time,Yes,", University of Toronto Coding Bootcamp",2/18/2019 19:51:07,7f7577d56a7d017755c401bb009e00ae
cohort-7,yes,1f8f7c43-b2c7-4a68-acf2-7521ff9e8960,Woman,She/her,,Twitter,Cohort 5 (September 2018 - November 2018),Employed full time,Yes,", University of Toronto",2/18/2019 21:24:37,f29679b26779faf848a713eee0250bd6
cohort-7,yes,536d2306-29bf-44d6-b4dc-6224e28c0510,Woman,She/her,Person of colour,Friend or family member,I have not applied to a Bridge cohort before,Unemployed and looking for a job,Yes,Bitmaker,2/19/2019 2:33:07,79070065bc3e25c2389c1a1da20117c3
cohort-7,yes,e3dc22ff-1299-4baa-a0af-e55b31700deb,Woman,She/her,,Work,I have not applied to a Bridge cohort before,Employed full time,No,I have not attended a bootcamp,2/19/2019 2:53:40,9f9d3417930d86994173271a7815c0fe
cohort-7,yes,5eaaa77f-d581-4af8-9b01-11cc3f06ae71,Woman,She/her,LGBTQIA+,Friend or family member,I have not applied to a Bridge cohort before,Unemployed and looking for a job,Yes,BrainStation,2/19/2019 14:12:39,f8620bb5d0b2d4a14a4223dbf200c7ce
cohort-7,maybe,d9b49b7c-3b10-4171-a51e-94b8e097131e,Woman,She/her,Person of colour,Twitter,Design Cohort 1 (June 2018 - August 2018),Employed part time,Yes,", uoft scs web development full stack bootcamp",2/19/2019 20:18:58,1077d05f37b652d52956de21d12acb1b
cohort-7,yes,c913feab-62e5-426e-9a78-5635275b6071,Woman,She/her,LGBTQIA+,Twitter,"Rangle Cohort 6 (January 2019 - March 2019), Cohort 5 (September 2018 - November 2018)",Unemployed and looking for a job,Yes,I have not attended a bootcamp,2/19/2019 21:12:14,5bb6730e1a7814676073123b6fb87e99
cohort-7,no,d58be348-a358-458c-92a9-3513cd2ac570,Woman,She/her,"Person of colour, Asexual? Not sure if that's LGBTQIA...",Friend or family member,I have not applied to a Bridge cohort before,Unemployed and looking for a job,Yes,I have not attended a bootcamp,2/19/2019 23:23:26,eb1dadad131ec1a298d9936cc7e7e011
cohort-7,no,a155618f-ff7d-40a0-aff0-aa1ebc3c7aed,Woman,She/her,,Facebook,I have not applied to a Bridge cohort before,Employed part time,Yes,", Not a bootcamp, but I attended a 22 week web development program at Humber College in 2018",2/20/2019 15:32:01,7b90f785b02bf6814896729ac59e31f3
cohort-7,no,957376d6-f6ae-4ce0-b2a7-b64475f249d7,Woman,She/her,,LightHouse Labs,I have not applied to a Bridge cohort before,Employed full time,No,Lighthouse Labs,2/21/2019 1:00:32,a291b4e4a65078929b5980702eceb643
cohort-7,maybe,3aae73ae-7e46-4b87-96b5-37bc7d46c92e,Woman,She/her,,Friend or family member,I have not applied to a Bridge cohort before,Employed full time,Not sure,I have not attended a bootcamp,2/21/2019 1:53:32,4e2cf00f16e654fbda374d0c5b5fa41d
cohort-7,no,96dca4fe-ed89-4c9b-a61f-b0ca6b733972,Woman,She/her,Person of colour,LinkedIn,I have not applied to a Bridge cohort before,Employed full time,Yes,I have not attended a bootcamp,2/21/2019 3:04:14,bd9347df9f73c3b72ba27b95e1309c1a
cohort-7,yes,1819d7e4-ac7d-47fd-930e-7aea435ecc7c,Woman,She/her,Person of colour,Friend or family member,Cohort 1 (Jan 2017 - March 2017),Employed full time,Not sure,", Ironhack",2/21/2019 14:20:40,f361c13197178e30258d52dbe93a7aaa
cohort-7,no,c4ca5677-ace4-437b-8cc7-536393005c27,Man,Him/his,,Facebook,I have not applied to a Bridge cohort before,Unemployed and looking for a job,Yes,I have not attended a bootcamp,2/21/2019 15:07:00,bf13688c0fa2686ad62d05d426d1158d
cohort-7,yes,e5597874-125f-435e-927f-1d718e7217fc,Woman,She/her,Person of colour,Friend or family member,I have not applied to a Bridge cohort before,Employed full time,Yes,I have not attended a bootcamp,2/21/2019 19:27:49,edcd345bd0729e3fce4ba29b37b91843
cohort-8,yes,5190032c-fd51-48f6-bbed-5f88379fe2f6,Woman,She/her,Prefer not to disclose,Friend or family member,I have not applied to a Bridge cohort before,Employed full time,Not sure,I have not attended a bootcamp,2/21/2019 16:34:25,4f3915f4a6b0d95e77053c6accf6d179
cohort-8,no,0ddfc699-31fe-402e-a626-a57d7667690c,Woman,She/her,Prefer not to disclose,Friend or family member,I have not applied to a Bridge cohort before,Employed full time,Not sure,I have not attended a bootcamp,2/21/2019 19:39:42,fc2cd11aea10e2931bc49f53e765dbd9
cohort-8,no,f892d1bc-0fa9-44b0-baf4-636f70dd9e75,Woman,She/her,Prefer not to disclose,Friend or family member,I have not applied to a Bridge cohort before,Unemployed and looking for a job,Yes,I have not attended a bootcamp,2/21/2019 21:18:09,51e87d7d683f62ef01942a83de65c889
cohort-8,yes,b6cd27ba-60dd-4269-bfa6-b8d89209fa1c,Woman,She/her,Prefer not to disclose,Twitter,"Cohort 2 (June 2017 - August 2017), Cohort 5 (September 2018 - November 2018), Rangle Cohort 6 (January 2019 - March 2019)",Unemployed and looking for a job,Yes,HackerYou,2/21/2019 21:23:58,9200c350baf69f5a8c843deffa5f9fea
cohort-8,yes,0e52b5a1-5736-401e-8731-c349d729f5e2,Woman,She/her,,Friend or family member,"Cohort 5 (September 2018 - November 2018), Cohort 3 (January 2018 - April 2018), Tulip Cohort 1 (June 2018 - August 2018)",Employed full time,Yes,I have not attended a bootcamp,2/22/2019 4:02:50,726b80c20a3b2e3925112f421282c984
cohort-8,yes,ecba7cf0-969f-4ea4-9855-f9b0c96b3c9f,Woman,She/her,Prefer not to disclose,Friend or family member,"Cohort 3 (January 2018 - April 2018), Tulip Cohort 1 (June 2018 - August 2018), Cohort 5 (September 2018 - November 2018), Rangle Cohort 6 (January 2019 - March 2019), Cohort 2 (June 2017 - August 2017)",Employed full time,Yes,I have not attended a bootcamp,2/22/2019 18:49:35,c3cd80c505e26b0cca5037a7408d771c
cohort-8,yes,cfd69d7e-7234-402e-83c2-75578d40ab22,Woman,She/her,,bridgeschool ,I have not applied to a Bridge cohort before,Unemployed and looking for a job,Yes,I have not attended a bootcamp,2/22/2019 21:07:51,8af6e0ef27df1df88425d9e851f2761c
cohort-8,yes,4facecde-c071-4ab6-89e1-bbe4e6c6e647,Non-binary,They/their,"Person of colour, LGBTQIA+, Person with a disability, Indigenous person",IntersectTO,Rangle Cohort 6 (January 2019 - March 2019),In school full time,Yes,I have not attended a bootcamp,2/23/2019 4:15:30,72e36190b102ef3787d3c47d605c8f3b
cohort-8,no,f09d27ee-7a6f-4972-b887-d2babb5657a3,Woman,She/her,,Friend or family member,I have not applied to a Bridge cohort before,Employed full time,Yes,I have not attended a bootcamp,2/23/2019 5:34:47,a0e1e76979645acc9dc5b01a25c70393
cohort-8,yes,bd7b28f7-028b-4251-a012-0c22ebc4722a,Woman,She/her,Person of colour,Friend or family member,I have not applied to a Bridge cohort before,Employed part time,Yes,I have not attended a bootcamp,2/23/2019 19:10:23,65f06b4000adc2b491b9beabe95a5829
cohort-8,yes,cec81691-806a-4849-a520-e3a1e90b1c24,Woman,She/her,Person of colour,Event,"Cohort 5 (September 2018 - November 2018), Rangle Cohort 6 (January 2019 - March 2019), Tulip Cohort 1 (June 2018 - August 2018)",In school full time,Yes,I have not attended a bootcamp,2/24/2019 3:20:29,a50a1a7437556a760a6aeedf0a5fabaf
cohort-8,yes,d93c01a2-7091-464c-850c-8a78f5dc2c04,Woman,She/her,,Event,"Rangle Cohort 6 (January 2019 - March 2019), Cohort 5 (September 2018 - November 2018)",Employed full time,Not sure,HackerYou,2/24/2019 16:28:30,d6677a2ad8ed3e89eb13e31fed24bf61
